Type,TC ID,Name / Title,Preconditions,Steps to be executed,Test Data,Expected results,Actual Results,Priority,Status,Requirement Traceability,Bugs Traceability,Test Type
postive,FACEBOOK_ADDPOST_GUI_025,Verify writing a post while adding feeling /activity,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo my name is mostafa ""+  feeling /activity",The written post successfully posted with feeling /activity,The written post successfully posted with feeling /activity,High,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_026,Verify adding a post contains GIF,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo my name is mostafa ""+  GIF",The written post successfully posted with GIF,The written post successfully posted with GIF,High,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_027,Verify adding post and sharing to instagram,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",'hallo my name is mostafa'',The post is successfully published on Facebook as well as Instagram,The post is successfully published on Facebook as well as Instagram,high,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_028,Verify adding a background color to a writen post,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",'hallo my name is mostafa'',The written post successfully posted with picked background,The written post successfully posted with picked background,high,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_029,Verify  adding a post to created album,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo my name is mostafa""",The written post successfully posted in album,The written post successfully posted in album,high,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_030,Verify  adding a post to new album,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo my name is mostafa""",The writtenpost successfully added to album,The writtenpost successfully added to album,high,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_031,Verify  adding low resolution (244*111),Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo my name is mostafa""+picked photo",The Written post successfully added and photo successufully posted,The Written post successfully added and photo successufully posted,medium,pass,FR1:Add Post,,Manual
postive,FACEBOOK_ADDPOST_GUI_032,Verify  adding high quality image,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo my name is mostafa""+picked photo",The Written post successfully added and photo successufully posted,The Written post successfully added and photo successufully posted,medium,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_033,Verify adding corrupted image,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo my name is mostafa""+picked photo",post cannot posted,post cannot posted,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_034,create empty post.,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",Empty text,Clicking the post button is disabled,disabled Post button,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_035,create post with utf8 characters,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""Upset >:O >:-O >:o >:-o""",The Written post successfully added ,The Written post successfully added ,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_036,Verify adding post with super long paragraphs (more than 63206characters),Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",long paragraph,"Error massage""A status can't be longer than 63,206 characters, but this one is 124,764 characters in length. Please make it a little shorter and try again.""","Error massage""A status can't be longer than 63,206 characters, but this one is 124,764 characters in length. Please make it a little shorter and try again.""",High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_037,Verify tagging every Facebook user,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo its my first post"" + tag people",cannot tag non friends or not followers people,cannot post .,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_038,verify editing loaded image (by crop tool),Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo its my first post"" + photo","Error massage""unable to crop photo""","Error massage""unable to crop photo""",High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_039,Verify back to field of writing a post after Crop Error apper,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo its my first post"" + photo",Back to field of writing a post,Loading Screen(waiting screen),medium,fail,FR1:Add Post,Facebook_adding_post_crop_image,Manual
Negative,FACEBOOK_ADDPOST_GUI_040,Trying to search for a GIF while no internet connection,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""hallo its my first post"" + GIF",Error massage(no internet connection),Error massage(no internet connection),High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_041,Verify trying to access camera while there is no permission for camra to be accesed,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",_,back to writing field ,back to writing field ,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_042,Verify adding photo with live video,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","test photo,live video",live video button is unable,live video button is unable,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_043,Verify continue posting after loosing internet connection,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""this my first post on Facebook""",The uploading should continue after the internet connection is back,The uploading should continue after the internet connection is back,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_044,"Verify when making a Friend post, an unfriend cannot view the post ",Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""this my first post on Facebook""",UnFriends cannot View the post,UnFriends cannot View the post,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_045,"Verify when making a Friend except post,  the excepted friends cannot view the post ",Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""this my first post on Facebook""",The post should not be viewd by excepted friends users,The post should not be viewd by excepted friends users,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_046,"Verify when making a Specific friends post, the other Facebook user cannot view the post ",Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""this my first post on Facebook""",The post should not be viewd by public people,The post should not be viewd by public people,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_047,"Verify when making a Only me post, no one view the post ",Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""this my first post on Facebook""",The post should not be viewd by all Facebook users,The post should not be viewd by all Facebook users,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_048,Verify adding multiple Feelings/activities,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ","""this my first post on Facebook""+activity",post should posted with multiple activities,posted with last added activity,High,fail,FR1:Add Post,Adding_post_add_multiple_activity,Manual
Negative,FACEBOOK_ADDPOST_GUI_049,Verify tyring to check-in a location while denying access to location services,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",-,back to writing field ,back to writing field ,High,pass,FR1:Add Post,,Manual
Negative,FACEBOOK_ADDPOST_GUI_050,verify upload large video size,Manual,"1- Go to the field of writing a post
2- Write a text post
3- Tap on Check in
4- Allow Facebook to acces your location
5-add location press  post button                 ",test video,the video post successfully posted  ,the video post successfully posted  ,medium,pass,FR1:Add Post,,Manual
